Planning Area,resale_price
ANG MO KIO,418723.04761904763
BEDOK,477911.68888888886
BISHAN,668467.4146341464
BUKIT BATOK,402687.5
BUKIT MERAH,568586.9696969697
BUKIT PANJANG,457624.53846153844
BUKIT TIMAH,540333.3333333334
CENTRAL AREA,764988.8
CHOA CHU KANG,474142.582278481
CLEMENTI,519325.3714285714
GEYLANG,524687.5294117647
HOUGANG,506747.25925925927
JURONG EAST,500771.0857142857
JURONG WEST,437823.1052631579
KALLANG/WHAMPOA,456936.0
MARINE PARADE,474454.54545454547
PASIR RIS,570356.9361702128
PUNGGOL,506451.675
QUEENSTOWN,664901.052631579
SEMBAWANG,441805.5
SENGKANG,481672.5063291139
SERANGOON,539282.3333333334
TAMPINES,530397.7923076923
TOA PAYOH,501917.07692307694
WOODLANDS,461630.63636363635
YISHUN,422644.30476190476
