Subzone,0_to_4,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_to_89,90_and_over
ANG MO KIO TOWN CENTRE,170,230,280,340,270,260,310,330,400,480,380,310,290,250,240,130,100,30,10
CHENG SAN,1060,1050,1040,1160,1330,1720,2020,2150,2080,2200,2050,2130,2110,2180,1750,960,650,340,170
CHONG BOON,850,850,1020,1070,1310,1610,1890,1720,1810,1820,1900,2100,2150,2100,1800,1120,800,430,220
KEBUN BAHRU,680,800,960,1010,1170,1410,1420,1440,1630,1810,1720,1800,1780,1710,1450,830,630,350,150
SEMBAWANG HILLS,210,320,400,450,500,500,340,300,370,550,540,550,480,410,360,230,150,100,60
SHANGRI-LA,560,570,640,700,860,970,1030,980,1010,1190,1200,1390,1280,1200,970,630,430,250,130
TAGORE,200,300,390,460,590,680,500,330,430,580,580,660,720,560,390,210,190,110,70
TOWNSVILLE,670,870,930,830,890,1310,1410,1420,1640,1580,1370,1570,1650,1530,1430,890,700,360,190
YIO CHU KANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIO CHU KANG EAST,160,180,210,260,300,320,240,250,260,320,290,340,390,270,200,120,80,50,30
YIO CHU KANG NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIO CHU KANG WEST,740,950,1190,1340,1470,1520,1400,1500,1720,1910,1850,1950,1900,1820,1380,650,480,250,100
BAYSHORE,340,490,480,440,360,310,350,550,770,860,650,520,400,360,290,130,90,50,50
BEDOK NORTH,2700,3090,3450,4000,4760,5630,5290,5120,5680,5970,6030,6940,6590,5990,4940,2560,1750,980,540
BEDOK RESERVOIR,1090,1270,1400,1510,1500,1600,1850,1900,2090,2120,1920,1840,1790,1540,1040,470,330,170,100
BEDOK SOUTH,1440,1720,2150,2310,2750,3150,2930,2710,3080,3500,3450,3740,3730,3380,2830,1660,1240,750,410
FRANKEL,1460,2070,2070,1820,1810,2040,2000,2360,2960,3180,2500,2280,2110,1880,1610,850,750,470,290
KAKI BUKIT,1200,1250,1580,1940,2520,3150,2840,2290,2280,2470,2460,3230,3500,2760,1910,820,580,270,180
KEMBANGAN,1390,1360,1490,1800,2010,2620,2810,2530,2310,2520,2650,2930,3240,2760,2180,1270,850,520,340
SIGLAP,160,250,250,310,360,400,360,320,430,520,450,460,500,430,480,300,250,140,70
BISHAN EAST,860,1140,1290,1390,1480,2300,2150,1730,1890,2150,1890,2100,2430,2110,1560,830,590,320,150
MARYMOUNT,1010,1340,1520,1680,2040,2650,1850,1770,1960,2240,2190,2530,2360,1800,1240,640,450,230,140
UPPER THOMSON,930,1270,1440,1560,1750,2030,1740,1590,1920,2340,2240,2310,2370,1980,1590,1000,730,500,270
LIU FANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMULUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIPYARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUKANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRICKWORKS,2710,1200,850,740,670,2290,3550,1690,1460,1300,970,790,630,440,280,130,100,70,20
BUKIT BATOK CENTRAL,1320,1240,1350,1490,1550,1920,2450,1950,1860,1940,1970,2000,2100,1760,1150,580,400,200,120
BUKIT BATOK EAST,350,350,540,600,810,970,880,820,800,960,930,1170,1230,1060,660,280,200,110,70
BUKIT BATOK SOUTH,690,720,750,860,1110,1190,1250,1120,920,1000,1200,1290,1170,820,430,180,140,60,30
BUKIT BATOK WEST,660,640,700,800,950,1000,1180,1090,1010,1040,1100,1180,1210,1080,630,310,190,140,70
GOMBAK,350,500,600,590,610,710,630,740,830,810,760,710,620,550,400,230,170,120,50
GUILIN,440,580,650,740,820,880,860,950,940,1100,1130,1130,950,740,480,280,200,120,70
HILLVIEW,550,720,1040,1350,1590,1490,1060,1000,1190,1650,1840,1860,1400,1090,680,370,220,130,80
HONG KAH NORTH,870,950,1230,1420,1670,2110,1810,1660,1630,1920,2050,2380,2470,1820,1100,540,340,180,70
ALEXANDRA HILL,370,420,570,640,800,870,850,730,740,970,960,1090,1130,1070,950,540,420,280,160
ALEXANDRA NORTH,170,200,160,100,90,130,240,330,330,300,180,130,100,60,40,30,20,10,0
BUKIT HO SWEE,480,580,580,500,610,820,930,980,950,1040,960,1120,1280,1110,940,620,490,270,180
BUKIT MERAH,20,40,50,70,70,60,60,60,80,70,90,100,60,80,90,50,30,10,10
CITY TERMINALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPOT ROAD,360,410,380,270,280,300,460,580,670,620,460,380,360,340,320,190,130,50,20
EVERTON PARK,220,300,310,300,350,470,530,550,600,700,590,530,590,610,500,300,240,110,90
HENDERSON HILL,450,450,500,530,670,860,930,790,790,880,1000,1050,1150,970,890,540,490,280,150
KAMPONG TIONG BAHRU,220,250,350,330,420,530,500,490,540,640,700,730,780,790,700,450,350,170,110
MARITIME SQUARE,200,230,190,170,110,130,170,350,420,390,310,240,180,140,120,70,70,50,30
REDHILL,480,640,660,520,460,650,640,750,1090,910,780,720,620,500,440,280,250,130,140
SINGAPORE GENERAL HOSPITAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TELOK BLANGAH DRIVE,1190,850,750,720,730,1090,2010,1670,1550,1370,1190,1230,1200,1150,1090,650,470,240,110
TELOK BLANGAH RISE,340,380,460,510,580,730,670,680,840,920,860,870,1040,1130,980,590,350,190,90
TELOK BLANGAH WAY,230,370,390,340,390,480,470,540,690,780,690,750,820,710,620,420,310,190,120
